,Topic0,Topic1,Topic2,Topic3,Topic4,dominant_topic
Doc273,0.04,0.04,0.04,0.81,0.09,3
Doc274,0.03,0.03,0.03,0.51,0.41,3
Doc275,0.03,0.03,0.03,0.86,0.04,3
Doc276,0.04,0.04,0.1,0.04,0.77,4
Doc277,0.03,0.03,0.03,0.03,0.89,4
Doc278,0.03,0.03,0.03,0.86,0.04,3
Doc279,0.03,0.03,0.03,0.36,0.53,4
Doc280,0.03,0.03,0.03,0.03,0.88,4
Doc281,0.03,0.03,0.03,0.42,0.48,4
Doc282,0.03,0.03,0.03,0.03,0.87,4
Doc283,0.04,0.04,0.04,0.04,0.84,4
Doc284,0.03,0.03,0.03,0.03,0.86,4
Doc285,0.04,0.04,0.04,0.04,0.85,4
Doc286,0.03,0.03,0.03,0.03,0.9,4
Doc287,0.03,0.03,0.03,0.03,0.87,4
Doc288,0.03,0.03,0.03,0.03,0.9,4
Doc289,0.04,0.04,0.04,0.04,0.85,4
Doc290,0.04,0.1,0.04,0.04,0.79,4
Doc291,0.03,0.03,0.03,0.48,0.41,3
Doc292,0.04,0.04,0.07,0.81,0.04,3
Doc293,0.04,0.04,0.04,0.83,0.04,3
Doc294,0.03,0.03,0.03,0.03,0.87,4
Doc295,0.03,0.03,0.03,0.52,0.39,3
Doc296,0.04,0.04,0.04,0.83,0.04,3
Doc297,0.04,0.09,0.04,0.8,0.04,3
Doc298,0.03,0.03,0.03,0.03,0.88,4
Doc299,0.04,0.04,0.04,0.85,0.04,3
Doc300,0.04,0.04,0.04,0.85,0.04,3
Doc301,0.03,0.03,0.03,0.03,0.9,4
Doc302,0.03,0.03,0.03,0.03,0.88,4
Doc303,0.03,0.03,0.03,0.34,0.57,4
Doc304,0.03,0.03,0.16,0.03,0.75,4
Doc305,0.03,0.03,0.03,0.03,0.89,4
Doc306,0.03,0.03,0.03,0.88,0.03,3
Doc307,0.05,0.05,0.05,0.05,0.82,4
Doc308,0.04,0.04,0.04,0.86,0.04,3
Doc309,0.03,0.03,0.03,0.03,0.88,4
Doc310,0.03,0.03,0.03,0.03,0.9,4
Doc311,0.04,0.04,0.04,0.04,0.85,4
Doc312,0.04,0.04,0.22,0.04,0.65,4
Doc313,0.04,0.04,0.04,0.83,0.04,3
Doc314,0.03,0.03,0.03,0.03,0.86,4
