Country Name,Country Code,Indicator Name,Indicator Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Heavily indebted poor countries (HIPC),HPC,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Croatia,HRV,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Haiti,HTI,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Hungary,HUN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
IBRD only,IBD,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
IDA & IBRD total,IBT,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
IDA total,IDA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
IDA blend,IDB,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Indonesia,IDN,Wholesale price index (2010 = 100),FP.WPI.TOTL,114.4134946,143.9522432,95.38113569,100,107.4610169,112.9562686,111.1434071,77.63795529,81.04824527,87.44040175,91.50334141,96.49200797,
IDA only,IDX,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Isle of Man,IMN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
India,IND,Wholesale price index (2010 = 100),FP.WPI.TOTL,82.05234979,89.17311124,91.27305175,100,109.4705532,117.733492,124.772416,128.9564572,123.9393518,123.8738299,128.1327533,133.5991518,136.1170647
Not classified,INX,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Ireland,IRL,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
"Iran, Islamic Rep.",IRN,Wholesale price index (2010 = 100),FP.WPI.TOTL,126.2043866,,,,,,,,,,,,
Iraq,IRQ,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Iceland,ISL,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Israel,ISR,Wholesale price index (2010 = 100),FP.WPI.TOTL,93.69537275,102.6928021,96.17252214,100,107.762068,112.4250214,112.9028278,111.3569837,104.8269637,101.0326193,,,
Italy,ITA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Jamaica,JAM,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Jordan,JOR,Wholesale price index (2010 = 100),FP.WPI.TOTL,80.01746894,95.5615942,96.44798137,100,,,,,,,,,
Japan,JPN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Kazakhstan,KAZ,Wholesale price index (2010 = 100),FP.WPI.TOTL,80.36397903,94.21638495,94.23994346,100,111.3610931,113.1279816,120.5194652,129.8074092,127.0451734,150.7509276,160.4040285,,
Kenya,KEN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Kyrgyz Republic,KGZ,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Cambodia,KHM,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Kiribati,KIR,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
"Korea, Rep.",KOR,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Kuwait,KWT,Wholesale price index (2010 = 100),FP.WPI.TOTL,89.75774385,95.5919972,95.68175494,100,103.8497096,106.0412945,109.6690034,112.3318164,115.6827722,117.1562952,120.7914838,,
Latin America & Caribbean (excluding high income),LAC,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Lao PDR,LAO,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Lebanon,LBN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Liberia,LBR,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Libya,LBY,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
St. Lucia,LCA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Latin America & Caribbean,LCN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Least developed countries: UN classification,LDC,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Low income,LIC,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Liechtenstein,LIE,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Sri Lanka,LKA,Wholesale price index (2010 = 100),FP.WPI.TOTL,75.11882286,93.85068691,89.93505521,100,110.6201388,114.4942592,125.0414637,129.0014476,130.302299,135.7286738,145.7637502,150.7039412,
Lower middle income,LMC,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Low & middle income,LMY,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Lesotho,LSO,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Late-demographic dividend,LTE,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Lithuania,LTU,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Luxembourg,LUX,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Latvia,LVA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
"Macao SAR, China",MAC,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
St. Martin (French part),MAF,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Morocco,MAR,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Monaco,MCO,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Moldova,MDA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Madagascar,MDG,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Maldives,MDV,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Middle East & North Africa,MEA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Mexico,MEX,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Marshall Islands,MHL,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Middle income,MIC,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
North Macedonia,MKD,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Mali,MLI,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Malta,MLT,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Myanmar,MMR,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Middle East & North Africa (excluding high income),MNA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Montenegro,MNE,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Mongolia,MNG,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Northern Mariana Islands,MNP,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Mozambique,MOZ,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Mauritania,MRT,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Mauritius,MUS,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Malawi,MWI,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Malaysia,MYS,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
North America,NAC,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Namibia,NAM,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
New Caledonia,NCL,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Niger,NER,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Nigeria,NGA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Nicaragua,NIC,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Netherlands,NLD,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
