Exports??and??imports??(%??of??GDP) rank,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
40, Portugal,67.3,72.9,75.9,78,80,80.2,78.9,84.6,87
41, Qatar,86.1,98.7,105.7,102.4,99,93.7,89.5,88.3,0
52, Romania,71.2,79.9,79.9,80.5,82.8,82.7,83.3,85.2,86.5
49, Russian Federation,50.4,47.9,47.1,46.2,47.8,49.4,46.3,46.8,51.5
157, Rwanda,42,43.9,44.6,46,47.6,52.5,48,51,51.5
73, Saint Kitts and Nevis,75.6,77.6,78.8,83,113.5,112.1,107.7,0,0
89, Saint Lucia,99.8,96.2,94.3,90.7,86.5,81,80,0,0
94, Saint Vincent and the Grenadines,84,82.7,85.2,84.5,95.8,92.1,95.8,90.5,0
111, Samoa,83.1,82.1,81.5,77,79.7,76.5,80.7,77.6,76.6
36, Saudi Arabia,82.5,85.5,83.5,82.7,80.6,72.1,61.9,64.2,66.5
166, Senegal,51.9,57.1,61.3,60.2,58.4,58.1,54.1,57.4,57.9
63, Serbia,76.7,78.8,85.5,87.9,92.2,97.5,102,107.7,110.2
62, Seychelles,201.9,207.2,216.5,182.8,187.3,167.2,173.6,192,189.1
181, Sierra Leone,51.3,80.7,93.3,87.5,83.2,66.8,79.4,74.1,0
9, Singapore,369.7,379.1,369.2,367,360.5,329.5,304.5,317.8,326.2
36, Slovakia,154.1,171,179.2,183.4,180.3,183.1,184,190.7,192.3
24, Slovenia,127.1,138.9,142,143.5,144.3,145.3,146.4,156,160.9
153, Solomon Islands,130.5,127.8,120.9,115.6,112,98.4,0,0,0
0, Somalia,0,0,0,69.5,73.9,75.4,76.9,81.8,81.9
113, South Africa,56,60.1,60.9,64.2,64.4,61.6,60.8,58.2,59.8
186, South Sudan,90.9,93.2,55.4,54.3,54.2,49.9,114,0,0
25, Spain,52.3,58.1,59.9,61.2,63,63.5,63.1,65.7,66.6
71, Sri Lanka,46.4,55,51.5,49.3,50.3,49.6,49.6,50.5,52.9
168, Sudan,37,33.1,24.7,23.7,19.5,19.1,22.4,21.5,22.6
8, Sweden,86.8,88.6,87.6,83,85.7,86.2,84.4,87,90.9
2, Switzerland,117.3,122.5,123.7,131.8,116.9,112.7,120.2,119.1,118.8
125, Tajikistan,73.5,79.8,83.2,71.7,54.6,52.7,55,56.6,0
