"Data Source","World Development Indicators",

"Last Updated Date","2020-09-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Canada","CAN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","35.0903611818616","36.4911740033413","44.5458477279236","47.7326968973747","50.5343225408115","51.6467780429594","53.9379474940334","56.0859188544153","60.9069212405728","64.8210023866348","72.5536992840095","89.2601431980907","102.673031026253","100","97.9952267303103","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","37.0077415011781","40.6428811847863","44.2780208683945","50.4880511612252","57.404914170313","66.1898350723662","70.8347357791989","81.0838101649276","86.4355435880175","89.7298889262874","93.4365533490407","95.9777852574891","98.1193200942444","100","96.4742510939078","98.0814540558735","101.068663749579","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Comoros","COM","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","17.1112870820216","35.6339400726141","44.9690461999524","48.410974179508","53.4442711436864","58.2555683193865","64.4388782612039","75.9476597196855","87.0187501201623","100","128.09363764828","151.369609520697","161.061297175706","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","14.8080430973729","15.2574079900045","15.7991656642986","16.2275321974614","16.7986875750118","18.7641340212042","23.8793343877953","26.4201358834738","27.3062666530977","29.3767048967599","30.5148159799249","33.2068056637785","38.6873774850841","42.9809532573774","45.1955344451918","46.7321826163283","49.1727414763686","50.7357537092649","48.4496129252456","48.3554555618181","50.0310800013736","51.5229092675186","53.33110727478","55.7607438806628","57.4227233364619","58.8491816394339","60.804451587433","63.0085740742682","64.3550440611857","66.1503373770757","66.4969534133119","67.296836573857","72.1316858998181","73.2781850965994","74.9527377742922","76.8253558224647","81.8190039509249","85.2761449629358","87.8509947791731","91.1034288133202","98.2079864540708","99.3368138845774","100","102.913785804995","105.002116551432","","","","","","","",
"Czech Republic","CZE","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Wholesale price index (2010 = 100)","FP.WPI.TOTL","43.2508250825082","43.8696369636964","44.3151815181518","44.546204620462","45.016501650165","46.1056105610561","46.9306930693069","46.4851485148515","46.1551155115512","47.013201320132","49.3151815181518","51.4026402640264","52.7640264026403","56.2706270627063","63.8036303630363","66.7656765676567","69.2244224422443","71.1386138613861","71.9554455445545","75.4042904290429","81.1056105610561","87.4587458745874","92.5907590759075","93.9438943894389","96.6584158415842","99.0181518151815","96.5181518151815","94.1171617161716","95.2970297029703","98.3085808580858","100","102.376237623762","103.770627062706","103.722772277228","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Wholesale price index (2010 = 100)","FP.WPI.TOTL","82.8894875913973","77.5452049117282","85.1691622196614","91.0678203202689","92.6428682452513","99.7046785140658","96.9483446453983","94.9380861095913","104.196673747512","99.6994974353911","100","100.033677011528","102.955805398744","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","2.96856669530549","3.38268174928329","3.94794632417857","4.27152009396934","4.98644990641961","5.52054453101666","5.92600126548133","6.4929975042921","7.59013027876294","8.7174434813052","10.7271631340221","13.5289953332746","17.3861529927304","22.8817120874147","38.1555835730988","68.7324216855785","100","148.002672442591","228.877466352008","318.347180465307","376.396297373894","","","","","","","","","","","","","","","","","","","","","","","","","",
